단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30700800,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 계양로 50,136,2,1,4,4,2,1,2,2,4,3,1,0,1,0,1,1,0,0,0,0,0,0
31200703,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 45,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
31200685,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 47,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31200707,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 49,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30700801,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 계양로16길 69,136,1,2,1,0,2,0,2,2,1,2,1,1,1,1,2,2,0,0,0,0,0,0
31274919,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31273194,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 78-1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31041051,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 81,0,1,0,2,5,3,2,0,0,2,3,3,4,1,3,1,0,0,0,1,0,0,0
31200708,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로16길 87,0,1,0,0,0,1,2,2,5,0,0,1,3,4,1,0,0,0,0,0,0,0,0
31200706,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로8길 41,0,0,1,0,2,1,0,2,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0
31041052,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로8길 70,0,1,1,1,1,0,3,0,1,3,1,2,3,3,1,1,0,0,0,0,0,0,0
31041048,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 계양로8길 72,0,0,0,2,1,0,0,1,1,5,3,0,1,2,2,0,0,1,0,0,0,0,0
30700649,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 궁당로9길 8-6,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,2,1,0,1,0,0,0,0
