hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,임대종류,준공일자,주택유형,건물형태,난방방식,승강기설치여부,공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금,x,y
31044811,2,B551452,Off,C,서울특별시 종로구 송월길 130,11,아파트,경희궁자이(돈의문1구역),1.11101810010011e+18,308,송월길130,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-06-30,아파트,복도식,개별난방,전체동 설치,39.05,19.63,53140000,179900,0,37.5720123,126.9635035
31044811,2,B551452,Off,C,서울특별시 종로구 송월길 130,11,아파트,경희궁자이(돈의문1구역),1.11101810010011e+18,308,송월길130,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-06-30,아파트,복도식,개별난방,전체동 설치,42.12,19.97,56610000,191600,0,37.5720123,126.9635035
31044811,2,B551452,Off,C,서울특별시 종로구 송월길 130,11,아파트,경희궁자이(돈의문1구역),1.11101810010011e+18,308,송월길130,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-06-30,아파트,복도식,개별난방,전체동 설치,44.02,20.87,59160000,200300,0,37.5720123,126.9635035
31054359,2,B551452,Off,C,서울특별시 성동구 난계로 100,11,아파트,왕십리자이아파트(하왕1-5구역),1.12001020010999e+18,72,난계로100,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-07-28,아파트,복도식,개별난방,전체동 설치,44.41,22.72,35500000,187000,0,37.5604884,127.0246610
31054359,2,B551452,Off,C,서울특별시 성동구 난계로 100,11,아파트,왕십리자이아파트(하왕1-5구역),1.12001020010999e+18,72,난계로100,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-07-28,아파트,복도식,개별난방,전체동 설치,38.19,19.54,30520000,160800,0,37.5604884,127.0246610
31106894,2,B551452,Off,C,서울특별시 광진구 아차산로 345,11,아파트,래미안프리미어팰리스,1.12151050010778e+18,22,아차산로345,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2017-10-31,아파트,복도식,개별난방,전체동 설치,84.79,31.1,404000000,0,0,37.5377234,127.0813020
31106894,2,B551452,Off,C,서울특별시 광진구 아차산로 345,11,아파트,래미안프리미어팰리스,1.12151050010778e+18,22,아차산로345,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2017-10-31,아파트,복도식,개별난방,전체동 설치,59.87,26.44,336000000,0,0,37.5377234,127.0813020
31106894,2,B551452,Off,C,서울특별시 광진구 아차산로 345,11,아파트,래미안프리미어팰리스,1.12151050010778e+18,22,아차산로345,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2017-10-31,아파트,복도식,개별난방,전체동 설치,84.81,30.73,404000000,0,0,37.5377234,127.0813020
31106589,2,B551452,Off,C,서울특별시 광진구 아차산로 345,11,아파트,래미안프리미어팰리스(자양4재정비촉진구역),1.12151050010778e+18,27,아차산로345,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-10-31,아파트,계단식,개별난방,전체동 설치,59.87,26.44,37370000,233700,0,37.5377234,127.0813020
31169572,2,B551452,Off,C,서울특별시 동대문구 답십리로 141,11,아파트,래미안미드카운티(답십리18구역),1.12301050010098e+18,172,답십리로141,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2018-05-25,아파트,계단식,개별난방,전체동 설치,55.4,22.87,38860000,210000,0,37.5751778,127.0556523
