rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1188,31275385,01,D168369,Off,B,경기도 용인시 기흥구 고매로 16,11,아파트,매입다가구(경기용인시),4146310800108830000,1,고매로16,FLE00021111,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.110573620764,37.2313532565654
1189,31275429,01,D168369,Off,B,경기도 용인시 기흥구 강남동로 128,11,아파트,매입다가구(경기용인시),4146311700106300000,1,강남동로128,FLE00021126,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.136765690156,37.2753791792408
1190,31275431,01,D168369,Off,B,경기도 용인시 수지구 죽전로 143,11,아파트,매입다가구(경기용인시),4146510200113290000,1,죽전로143,FLE00021074,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.123387576507,37.3241565585974
1191,31300178,01,D168291,Off,C,경기도 하남시 감일순환로 135,11,아파트,하남감일스윗시티 A5블록(NHF15호),4145011400105330000,1,감일순환로135,XXX,05,10년임대,LH서울,http://www.lh.or.kr,Y,127.161740554224,37.5118828639943
1192,31276268,01,D168369,Off,B,경기도 용인시 기흥구 구성로 475,11,아파트,매입다가구(경기용인시),4146311400104990000,1,구성로475,FLE00021058,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.153416434183,37.2965377237826
1193,31276272,01,D168369,Off,B,경기도 용인시 기흥구 동백8로 126,11,아파트,매입다가구(경기용인시),4146311500105930000,1,동백8로126,FLE00021117,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.163607190379,37.2826793607725
1194,31281251,01,D168369,Off,B,경기도 화성시 동탄공원로 21-12,11,아파트,경기도 화성시,4159011800111340000,1,동탄공원로21-12,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.058023026564,37.2017337548932
1195,31281271,01,D168369,Off,B,경기도 화성시 동탄공원로 21-12,11,아파트,경기도 화성시,4159011800111340000,1,동탄공원로21-12,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.058023026564,37.2017337548932
1196,31281273,01,D168369,Off,B,경기도 화성시 노작로 239,11,아파트,경기도 화성시,4159012800100490000,1,노작로239,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.077919129373,37.2085258794044
1197,31281275,01,D168369,Off,B,경기도 화성시 동탄공원로 21-12,11,아파트,경기도 화성시,4159011800111340000,1,동탄공원로21-12,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.058023026564,37.2017337548932
1198,31299342,01,D168369,Off,C,경기도 화성시 동탄신리천로 786,11,아파트,화성동탄2 A63블록,4159013500201550019,1,동탄신리천로786,XXX,05,10년임대,LH경기,http://www.lh.or.kr,Y,127.123159840766,37.1741938311565
1199,31299344,01,D168369,Off,C,경기도 화성시 동탄순환대로12길 67,11,아파트,화성동탄2 A81블록,4159013500107430000,3,동탄순환대로12길67,XXX,05,10년임대,LH경기,http://www.lh.or.kr,Y,127.125820519331,37.1675178309013
1200,31299346,01,D168341,Off,C,경기도 김포시 김포한강9로115번길 37,11,아파트,김포한강데세리브(공임리츠Ac-01a),4157010900168720008,1,김포한강9로115번길37,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.623145343954,37.6469906537535
1201,31287187,01,D168291,Off,B,경기도 의정부시 용민로 442,11,아파트,경기도 의정부시,4115010600108950000,1,용민로442,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.116875215321,37.7544033053601
1202,31287192,01,D168291,Off,B,경기도 의정부시 동일로 660,11,아파트,경기도 의정부시,4115010900103440017,1,동일로660,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.054252517481,37.7468107087407
1203,31285474,01,D168291,Off,B,경기도 의정부시 송양로 94,11,아파트,경기도 의정부시,4115010600108900000,1,송양로94,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.115895163299,37.7503696424308
1204,31281918,01,D168369,Off,B,경기도 화성시 동탄공원로 21-12,11,아파트,경기도 화성시,4159011800111340000,1,동탄공원로21-12,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.058023026564,37.2017337548932
1205,31287174,01,D168291,Off,B,경기도 의정부시 장곡로 532,11,아파트,경기도 의정부시,4115010400107550002,1,장곡로532,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.063808137664,37.7480711308431
1206,31304553,01,D168341,Off,C,경기도 시흥시 은계중앙로 8,11,아파트,시흥은계S3블록 10년공임,4139010600106620000,143,은계중앙로8,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.801099466183,37.4312371657718
1207,31304554,01,D168341,Off,C,경기도 파주시 가람로 109,11,아파트,별하람마을,4148012200107390000,1,가람로109,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.760582501314,37.7388275329932
1208,31305284,01,D168341,Off,C,경기도 시흥시 은계중앙로 8,11,아파트,시흥은계S3블록 10년공임,4139010600106620000,1,은계중앙로8,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.801099466183,37.4312371657718
1209,31300799,01,D168369,Off,C,경기도 화성시 동탄신리천로 786,11,아파트,화성동탄2 A63블록,4159013500201550019,8,동탄신리천로786,XXX,05,10년임대,LH경기,http://www.lh.or.kr,Y,127.123159840766,37.1741938311565
1210,31302265,01,D168341,Off,C,경기도 시흥시 은계중앙로 8,11,아파트,시흥은계S3블록 10년공임,4139010600106620000,1,은계중앙로8,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.801099466183,37.4312371657718
1211,31305529,01,D168341,Off,C,경기도 파주시 가람로 109,11,아파트,별하람마을,4148012200107390000,1,가람로109,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.760582501314,37.7388275329932
1212,31282487,01,D168369,Off,B,경기도 화성시 동탄공원로 21-11,11,아파트,경기도 화성시,4159011800111510000,1,동탄공원로21-11,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.056130476127,37.200524945249
1213,31297345,01,D168341,Off,C,경기도 시흥시 인선길 39,11,아파트,시흥장현 A-11BL 국민임대,4139013000103550012,358,인선길39,XXX,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.784230185241,37.3771787568158
1214,31297391,01,D168369,Off,C,경기도 화성시 동탄순환대로10길 30-23,11,아파트,화성동탄2 A77-2블럭(35단지)(국임/영구),4159013500107480000,538,동탄순환대로10길30-23,FLE00022141,01,영구임대,LH경기,http://www.lh.or.kr,Y,127.120347938193,37.1647747422108
1215,31297393,01,D168369,Off,C,경기도 화성시 동탄영천로 108-21,11,아파트,화성동탄2 A4-1블럭(2단지)(행복),4159013100200170078,1640,동탄영천로108-21,FLE00022140,09,행복주택,LH경기,http://www.lh.or.kr,Y,127.106075074696,37.2128781160432
1216,31281600,01,D168369,Off,B,경기도 화성시 동탄숲속로 96,11,아파트,경기도 화성시,4159011800111320000,1,동탄숲속로96,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.057792309704,37.2071604203937
1217,31281602,01,D168369,Off,B,경기도 화성시 동탄숲속로 96,11,아파트,경기도 화성시,4159011800111320000,1,동탄숲속로96,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.057792309704,37.2071604203937
1218,31281610,01,D168369,Off,B,경기도 화성시 동탄공원로 21-11,11,아파트,경기도 화성시,4159011800111510000,1,동탄공원로21-11,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.056130476127,37.200524945249
1219,31281620,01,D168369,Off,B,경기도 화성시 동탄숲속로 95,11,아파트,경기도 화성시,4159011800111160000,1,동탄숲속로95,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.058442093395,37.2088024868962
1220,31285961,01,D168291,Off,B,경기도 의정부시 녹양로62번길 12,11,아파트,경기도 의정부시,4115011100103550000,1,녹양로62번길12,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.033637127297,37.7565179891423
1221,31279528,01,D168369,Off,B,경기도 용인시 기흥구 동백8로 90,11,아파트,경기도 용인시,4146311500105990000,1,동백8로90,FLE00021120,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.160562705306,37.2842761571347
1222,31279529,01,D168369,Off,B,경기도 용인시 기흥구 동백8로131번길 9,11,아파트,매입다가구(경기용인시),4146311500105830000,1,동백8로131번길9,FLE00021049,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.164910390986,37.2828022363331
1223,31285971,01,D168291,Off,B,경기도 의정부시 송양로 94,11,아파트,경기도 의정부시,4115010600108900000,1,송양로94,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.115895163299,37.7503696424308
1224,31285982,01,D168291,Off,B,경기도 의정부시 녹양로62번길 12,11,아파트,경기도 의정부시,4115011100103550000,1,녹양로62번길12,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.033637127297,37.7565179891423
1225,31283396,01,D168291,Off,B,경기도 의정부시 동일로 660,11,아파트,경기도 의정부시,4115010900103440017,1,동일로660,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.054252517481,37.7468107087407
1226,31286004,01,D168291,Off,B,경기도 의정부시 동일로 660,11,아파트,경기도 의정부시,4115010900103440017,1,동일로660,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.054252517481,37.7468107087407
1227,31298116,01,D168341,Off,C,경기도 파주시 해올로 20,11,아파트,해오름마을,4148010900101460005,1,해올로20,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.729685590934,37.735046616998
1228,31299612,01,D168369,Off,C,경기도 화성시 봉담읍 상리3길 89,11,아파트,(NHF제13호)화성봉담2(5단지 그랑드비체),4159025323106850000,1450,상리3길89,XXX,05,10년임대,LH경기,http://www.lh.or.kr,Y,126.948265957326,37.2287569676501
1229,31282464,01,D168369,Off,B,경기도 화성시 동탄숲속로 96,11,아파트,경기도 화성시,4159011800111320000,1,동탄숲속로96,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.057792309704,37.2071604203937
1230,31282470,01,D168369,Off,B,경기도 화성시 병점중앙로21번길 32,11,아파트,경기도 화성시,4159011700108720000,1,병점중앙로21번길32,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.041312777122,37.2008916503615
1231,31301095,01,D168291,Off,C,경기도 의정부시 입암로 13,11,아파트,한신 더휴 NHF,4115011200100000000,1,입암로13,XXX,05,10년임대,LH서울,http://www.lh.or.kr,Y,127.108473388994,37.7310103287825
1232,31253724,01,D168291,Off,B,경기도 남양주시 의안로 148,11,아파트,경기도 남양주시,4136010200106060000,1,의안로148,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.239872940465,37.6432843106196
1233,30699854,01,D168369,Off,C,경기도 용인시 기흥구 동백8로 103,11,아파트,백현마을주공7단지아파트,4146311500105810000,561,동백8로103,FLE00005952,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.16203426467,37.2840418760164
1234,31276282,01,D168369,Off,B,경기도 용인시 기흥구 동백8로 90,11,아파트,매입다가구(경기용인시),4146311500105990000,1,동백8로90,FLE00021040,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.160562705306,37.2842761571347
1235,31297390,01,D168291,Off,C,경기도 하남시 감일순환로 95,11,아파트,하남감일스윗시티8단지,4145011400105340000,613,감일순환로95,FLE00021655,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.163766723781,37.5127005309126
1236,30700417,01,D168341,Off,C,경기도 파주시 와석순환로 380,11,아파트,파주운정 해솔마을 6단지,4148011700106900000,1525,와석순환로380,FLE00005838,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.747688398962,37.7237313949722
1237,30699416,01,D168369,Off,C,경기도 성남시 분당구 동판교로 91,11,아파트,백현마을 4단지,4113511000105530000,1974,동판교로91,XXX,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.116596904265,37.390536861521
1238,30699471,01,D168369,Off,C,경기도 수원시 권선구 호매실로218번길 111,11,아파트,수원호매실 휴먼시아 13단지 아파트,4111313500113710000,1428,호매실로218번길111,FLE00015983,05,10년임대,LH경기,http://www.lh.or.kr,Y,126.960724917086,37.2656676177047
1239,30699991,01,D168369,Off,C,경기도 평택시 안중읍 안현로서7길 46,11,아파트,평택안중2,4122025330108420000,638,안현로서7길46,FLE00004872,02,국민임대,LH경기,http://www.lh.or.kr,Y,126.922349281169,36.9818371618912
1240,30700009,01,D168291,Off,C,경기도 하남시 덕풍남로 17,11,아파트,휴먼시아 새뜰마을4단지,4145010800108220000,330,덕풍남로17,FLE00006259,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.209111535308,37.5473921783603
1241,30980005,01,D168369,Off,C,경기도 화성시 향남읍 상신하길로273번길 60,11,아파트,서봉마을,4159025926114770000,1242,상신하길로273번길60,XXX,02,국민임대,LH경기,http://www.lh.or.kr,Y,126.905739494219,37.1165179439329
1242,31297401,01,D168341,Off,C,경기도 김포시 허산길 50,11,아파트,김포한강 Aa-12블록 행복주택,4157010400120600002,443,허산길50,FLE00022923,09,행복주택,LH인천,http://www.lh.or.kr,Y,126.66741890611,37.6366772297776
1243,31308329,01,D168369,Off,C,경기도 수원시 팔달구 고등로 15,11,아파트,수원역푸르지오자이,4111513700101560117,564,고등로15,XXX,06,5년임대,LH경기,http://www.lh.or.kr,Y,126.998958016659,37.2736261035643
1244,31311907,01,D168291,Off,B,경기도 의정부시 동일로 660,11,아파트,경기도 의정부시,4115010900103440017,1,동일로660,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.054252517481,37.7468107087407
1245,30700420,01,D168369,Off,C,경기도 오산시 내삼미로 109,11,아파트,삼미마을 16단지,4137011000108970000,822,내삼미로109,FLE00006766,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.065428970824,37.1719948379881
1246,31201886,01,D168341,Off,C,경기도 시흥시 배곧4로 81-29,11,아파트,시흥배곧 B5블록 10년공공임대주택리츠,4139013200117720021,540,배곧4로81-29,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.735103119412,37.3756581379154
