rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
27,30701424,01,D168540,Off,B,제주특별자치도 제주시 진동로 8,11,아파트,제주특별자치도 제주시,5011011100119370001,1,진동로8,XXX,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.568731313005,33.5198816934941
28,30699695,01,D168540,Off,D,제주특별자치도 제주시 애월읍 고내동길 21,11,아파트,고내이강,5011025333101150000,29,고내동길21,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.350226485628,33.4681214335524
29,30701259,01,D168540,Off,B,제주특별자치도 서귀포시 천제연로232번길 18-21,11,아파트,제주특별자치도 서귀포시,5013011200124280000,46,천제연로232번길18-21,FLE00006896,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.428839277749,33.2489197209326
30,3686,02,B551939,Off,B,제주특별자치도 서귀포시 효돈로 145,11,아파트,신효아파트,5013010900101190002,12,효돈로145,XXX,04,매입임대,제주특별자치도개발공사,http://www.jpdc.co.kr,Y,126.614363879163,33.2639131975227
31,30700225,01,D168540,Off,C,제주특별자치도 제주시 정존11길 54,11,아파트,정든마을1단지,5011012200125820004,620,정존11길54,FLE00005051,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.473119590759,33.4878772659893
32,30699587,01,D168540,Off,C,제주특별자치도 제주시 한림읍 대림4길 20,11,아파트,제주한림 LH아파트,5011025023118850000,212,대림4길20,FLE00005061,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.266196948972,33.4200344751276
33,30699493,01,D168540,Off,C,제주특별자치도 제주시 정존11길 68,11,아파트,정든마을 LH3단지,5011012200125820002,511,정존11길68,FLE00005053,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.472137105522,33.4887283135827
34,30699517,01,D168540,Off,C,제주특별자치도 제주시 도련2길 14,11,아파트,제주도련 LH아파트,5011013000116180000,382,도련2길14,FLE00005056,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.58932670649,33.5071300055051
35,30966279,01,D168540,Off,C,제주특별자치도 서귀포시 남원읍 남원체육관로 342,11,아파트,서귀포남원 LH아파트,5013025321124940000,354,남원체육관로342,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.721653811908,33.2816237729843
36,30856023,01,D168540,Off,B,제주특별자치도 제주시 서흘4길 6,11,아파트,제주특별자치도 제주시,5011011300115820017,23,서흘4길6,XXX,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.590115045152,33.5288607863079
37,31106590,01,D168540,Off,C,제주특별자치도 제주시 화삼북로 87,11,아파트,NHF 제주삼화1단지,5011011400123120000,560,화삼북로87,XXX,05,10년임대,LH제주,http://www.lh.or.kr,Y,126.582362478082,33.5175228947286
38,31297380,01,D168540,Off,C,제주특별자치도 서귀포시 장수로 115,11,아파트,서귀포서홍행복주택,5013010600103550001,90,장수로115,XXX,09,행복주택,LH제주,http://www.lh.or.kr,Y,126.55531814346,33.2557734665514
39,30700678,01,D168540,Off,B,제주특별자치도 제주시 고마로14길 16,11,아파트,제주특별자치도 제주시,5011010200103650001,11,고마로14길16,FLE00006850,04,매입임대,LH제주,http://www.lh.or.kr,Y,126.53948887191,33.5057973097472
40,30699683,01,D168540,Off,D,제주특별자치도 서귀포시 마소물로 3,11,아파트,보목신환,5013011000108810012,2,마소물로3,XXX,02,국민임대,LH제주,http://www.lh.or.kr,Y,126.599084193161,33.2432211036915
