0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
포미타운주공2단지,국민임대,전라남도 목포시 포미로 22,2004-09-12,980,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,51.86㎡,16.61㎡,"19,257,000원","106,440원","9,000,000원"
영암용앙휴먼시아2단지,국민임대,전라남도 영암군 삼호읍 삼호중앙로 222,2011-09-19,462,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,51.6㎡,25.70㎡,"21,931,000원","152,350원","18,000,000원"
영암용앙휴먼시아2단지,국민임대,전라남도 영암군 삼호읍 삼호중앙로 222,2011-09-19,462,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.52㎡,18.18㎡,"11,542,000원","87,710원","5,000,000원"
영암용앙휴먼시아2단지,국민임대,전라남도 영암군 삼호읍 삼호중앙로 222,2011-09-19,462,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.74㎡,18.29㎡,"11,542,000원","87,710원","5,000,000원"
영암용앙휴먼시아2단지,국민임대,전라남도 영암군 삼호읍 삼호중앙로 222,2011-09-19,462,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.46㎡,23.14㎡,"18,468,000원","123,500원","12,000,000원"
장흥건산휴먼시아2단지,국민임대,전라남도 장흥군 장흥읍 북부로 3,2012-04-10,318,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.9㎡,20.77㎡,"16,547,000원","134,750원","14,000,000원"
장흥건산휴먼시아2단지,국민임대,전라남도 장흥군 장흥읍 북부로 3,2012-04-10,318,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.55㎡,16.18㎡,"10,638,000원","82,730원","4,000,000원"
장흥건산휴먼시아2단지,국민임대,전라남도 장흥군 장흥읍 북부로 3,2012-04-10,318,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.57㎡,16.19㎡,"10,638,000원","82,730원","4,000,000원"
장흥건산휴먼시아2단지,국민임대,전라남도 장흥군 장흥읍 북부로 3,2012-04-10,318,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.25㎡,20.48㎡,"16,547,000원","134,750원","14,000,000원"
장흥계명아파트,국민임대,전라남도 장흥군 장흥읍 장흥대로 3492,1996-01-01,83,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,59.67㎡,16.56㎡,"19,623,000원","111,090원","10,000,000원"
장흥계명아파트,국민임대,전라남도 장흥군 장흥읍 장흥대로 3492,1996-01-01,83,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,39.93㎡,11.08㎡,"6,814,000원","46,170원",0원
장흥계명아파트,국민임대,전라남도 장흥군 장흥읍 장흥대로 3492,1996-01-01,83,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,49.8㎡,13.82㎡,"15,091,000원","84,880원","4,000,000원"
영암 삼호종원,국민임대,전라남도 영암군 삼호읍 세가래1길 17,1999-01-07,7,아파트,혼합식,개별가스난방,전체동 설치,LH광주전남,59.89㎡,17.34㎡,"17,989,000원","143,910원","16,000,000원"
영암 삼호종원,국민임대,전라남도 영암군 삼호읍 세가래1길 17,1999-01-07,7,아파트,혼합식,개별가스난방,전체동 설치,LH광주전남,36.63㎡,15.96㎡,"8,394,000원","50,350원",0원
마동주공아파트,국민임대,전라남도 광양시 진등6길 31,2007-03-14,270,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.9㎡,21.98㎡,"17,477,000원","107,200원","9,000,000원"
마동주공아파트,국민임대,전라남도 광양시 진등6길 31,2007-03-14,270,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,39.72㎡,18.61㎡,"12,483,000원","78,670원","3,000,000원"
마동주공아파트,국민임대,전라남도 광양시 진등6길 31,2007-03-14,270,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.79㎡,21.93㎡,"17,477,000원","107,200원","9,000,000원"
영천주공아파트,국민임대,전라남도 장성군 장성읍 문화로 23,2006-11-23,330,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,59.88㎡,20.77㎡,"21,202,000원","139,490원","15,000,000원"
